Race,TeamName,Points,Placement
1,Mercedes,37.0,1
1,McLaren,26.0,2
1,Ferrari,19.0,3
1,Racing Point,8.0,4
1,AlphaTauri,6.0,5
1,Renault,4.0,6
1,Alfa Romeo Racing,2.0,7
1,Williams,0.0,8
1,Red Bull Racing,0.0,9
1,Haas F1 Team,0.0,10
2,Mercedes,80.0,1
2,McLaren,39.0,2
2,Red Bull Racing,27.0,3
2,Racing Point,22.0,4
2,Ferrari,19.0,5
2,Renault,8.0,6
2,AlphaTauri,7.0,7
2,Alfa Romeo Racing,2.0,8
2,Williams,0.0,9
2,Haas F1 Team,0.0,10
3,Mercedes,121.0,1
3,Red Bull Racing,55.0,2
3,McLaren,41.0,3
3,Racing Point,40.0,4
3,Ferrari,27.0,5
3,Renault,12.0,6
3,AlphaTauri,7.0,7
3,Alfa Romeo Racing,2.0,8
3,Haas F1 Team,1.0,9
3,Williams,0.0,10
4,Mercedes,146.0,1
4,Red Bull Racing,78.0,2
4,McLaren,51.0,3
4,Ferrari,43.0,4
4,Racing Point,42.0,5
4,Renault,32.0,6
4,AlphaTauri,13.0,7
4,Alfa Romeo Racing,2.0,8
4,Haas F1 Team,1.0,9
4,Williams,0.0,10
5,Mercedes,180.0,1
5,Red Bull Racing,113.0,2
5,Racing Point,56.0,3
5,Ferrari,55.0,4
5,McLaren,53.0,5
5,Renault,36.0,6
5,AlphaTauri,14.0,7
5,Alfa Romeo Racing,2.0,8
5,Haas F1 Team,1.0,9
5,Williams,0.0,10
6,Mercedes,221.0,1
6,Red Bull Racing,135.0,2
6,Racing Point,78.0,3
6,McLaren,62.0,4
6,Ferrari,61.0,5
6,Renault,36.0,6
6,AlphaTauri,16.0,7
6,Alfa Romeo Racing,2.0,8
6,Haas F1 Team,1.0,9
6,Williams,0.0,10
7,Mercedes,264.0,1
7,Red Bull Racing,158.0,2
7,Racing Point,81.0,3
7,McLaren,68.0,4
7,Ferrari,61.0,5
7,Renault,59.0,6
7,AlphaTauri,20.0,7
7,Alfa Romeo Racing,2.0,8
7,Haas F1 Team,1.0,9
7,Williams,0.0,10
8,Mercedes,281.0,1
8,Red Bull Racing,158.0,2
8,McLaren,98.0,3
8,Racing Point,97.0,4
8,Renault,71.0,5
8,Ferrari,61.0,6
8,AlphaTauri,47.0,7
8,Alfa Romeo Racing,2.0,8
8,Haas F1 Team,1.0,9
8,Williams,0.0,10
9,Mercedes,325.0,1
9,Red Bull Racing,173.0,2
9,Racing Point,107.0,3
9,McLaren,106.0,4
9,Renault,83.0,5
9,Ferrari,66.0,6
9,AlphaTauri,53.0,7
9,Alfa Romeo Racing,4.0,8
9,Haas F1 Team,1.0,9
9,Williams,0.0,10
10,Mercedes,366.0,1
10,Red Bull Racing,192.0,2
10,Racing Point,119.0,3
10,McLaren,106.0,4
10,Renault,99.0,5
10,Ferrari,74.0,6
10,AlphaTauri,59.0,7
10,Alfa Romeo Racing,4.0,8
10,Haas F1 Team,1.0,9
10,Williams,0.0,10
11,Mercedes,391.0,1
11,Red Bull Racing,211.0,2
11,Racing Point,135.0,3
11,McLaren,116.0,4
11,Renault,114.0,5
11,Ferrari,80.0,6
11,AlphaTauri,67.0,7
11,Alfa Romeo Racing,5.0,8
11,Haas F1 Team,3.0,9
11,Williams,0.0,10
12,Mercedes,435.0,1
12,Red Bull Racing,226.0,2
12,Racing Point,141.0,3
12,McLaren,124.0,4
12,Renault,120.0,5
12,Ferrari,93.0,6
12,AlphaTauri,77.0,7
12,Alfa Romeo Racing,5.0,8
12,Haas F1 Team,3.0,9
12,Williams,0.0,10
13,Mercedes,479.0,1
13,Red Bull Racing,226.0,2
13,Racing Point,149.0,3
13,Renault,135.0,4
13,McLaren,134.0,5
13,Ferrari,103.0,6
13,AlphaTauri,89.0,7
13,Alfa Romeo Racing,8.0,8
13,Haas F1 Team,3.0,9
13,Williams,0.0,10
14,Mercedes,504.0,1
14,Red Bull Racing,240.0,2
14,Racing Point,169.0,3
14,McLaren,149.0,4
14,Renault,136.0,5
14,Ferrari,130.0,6
14,AlphaTauri,89.0,7
14,Alfa Romeo Racing,8.0,8
14,Haas F1 Team,3.0,9
14,Williams,0.0,10
15,Mercedes,533.0,1
15,Red Bull Racing,274.0,2
15,McLaren,171.0,3
15,Racing Point,169.0,4
15,Renault,144.0,5
15,Ferrari,131.0,6
15,AlphaTauri,97.0,7
15,Alfa Romeo Racing,8.0,8
15,Haas F1 Team,3.0,9
15,Williams,0.0,10
16,Mercedes,540.0,1
16,Red Bull Racing,282.0,2
16,Racing Point,209.0,3
16,McLaren,184.0,4
16,Renault,172.0,5
16,Ferrari,131.0,6
16,AlphaTauri,103.0,7
16,Alfa Romeo Racing,8.0,8
16,Haas F1 Team,3.0,9
16,Williams,0.0,10
17,Mercedes,573.0,1
17,Red Bull Racing,319.0,2
17,Racing Point,210.0,3
17,McLaren,202.0,4
17,Renault,181.0,5
17,Ferrari,131.0,6
17,AlphaTauri,107.0,7
17,Alfa Romeo Racing,8.0,8
17,Haas F1 Team,3.0,9
17,Williams,0.0,10
