Round,Race,Rain
1,Bahrain Grand Prix,False
2,Saudi Arabian Grand Prix,False
3,Australian Grand Prix,False
4,Japanese Grand Prix,False
5,Chinese Grand Prix,False
6,Miami Grand Prix,False
7,Emilia Romagna Grand Prix,False
8,Monaco Grand Prix,False
9,Canadian Grand Prix,True
10,Spanish Grand Prix,True
11,Austrian Grand Prix,True
12,British Grand Prix,True
13,Hungarian Grand Prix,False
14,Belgian Grand Prix,False
15,Dutch Grand Prix,False
16,Italian Grand Prix,False
17,Azerbaijan Grand Prix,False
18,Singapore Grand Prix,False
19,United States Grand Prix,False
20,Mexico City Grand Prix,False
21,Sao Paulo Grand Prix,True
22,Las Vegas Grand Prix,False
23,Qatar Grand Prix,False
24,Abu Dhabi Grand Prix,False
